,C,Mn,Si,P,S,Cr,Cu,Ni,V,Ms:,Mf:,Ac1:,Ac3:,Austenitization Temp:,Austenitization Time:,Al,Ti,Mo,W,N,Grain Size:,Co,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
0.15% C- 0.67% Mn - 1.20% Cr - 0.31% V (SAE 6115),0.15,0.67,0.48,0.044,0.024,1.2,0.18,0.25,0.31,430.0,,750,870,920.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9090702849231485,67.4166430283181,1.3074899403950677
0.20% C - 1.20% Mn - 0.97% Cu - 0.55% Ni,0.2,1.2,0.38,0.039,0.024,0.06,0.91,0.55,0.0,390.0,,700,795,870.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.5760172824488181,46.58999704757567,1.3542764208288902
0.30% C - 3.03% Ni (SAE 2330),0.3,0.51,0.32,0.011,0.007,0.07,0.0,3.03,0.0,340.0,,690,760,850.0,600.0,0.032,0.01,0.0,0.0,0.0,,0.0,0.5596276445319552,1.702520841179651,0.5969120746897806
0.48% C - 1.98% Mn,0.48,1.98,0.28,0.02,0.011,0.0,0.0,0.0,0.0,280.0,,720,760,850.0,420.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.969420801161345,18.514356024063925,13.696972047431801
0.73% C - 1.62% Si (71 Si 7),0.73,0.73,1.62,0.019,0.012,0.1,0.19,0.12,0.01,210.0,,750,770,845.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.563947703262179,4.939480993737899,5.517702004499881
0.98% C - 1.84% Mn,0.98,1.84,0.08,0.023,0.011,0.0,0.0,0.0,0.0,120.0,,700,850,900.0,360.0,0.0,0.0,0.0,0.0,0.0,,0.0,26.543802275694453,32.645617273437495,35.34981105030106
100 Cr 6,1.04,0.33,0.26,0.023,0.006,1.53,0.2,0.31,0.01,240.0,20,750,790,860.0,900.0,0.0,0.0,0.01,0.0,0.0,,0.0,,11.71344160709404,9.973230480078769
101Cr6,0.95,0.25,0.15,0.0,0.0,1.35,0.0,0.0,0.0,170.0,,740,770,860.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,4.930997502990867,8.185467307069029
102Cr6,1.025,0.35,0.2,0.015,0.015,1.5,0.0,0.0,0.0,210.0,,735,770,830.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,4.049367015033748,8.304024956072512
105 WCr 6,1.03,0.97,0.28,0.016,0.018,1.05,0.25,0.13,0.0,250.0,20,720,780,815.0,900.0,0.0,0.0,0.03,1.15,0.0,,0.0,,4.99443784003733,5.589599291573126
10NiCr5-4,0.095,0.75,0.15,0.0125,0.0125,1.05,0.125,1.35,0.0,440.0,,730,850,880.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.1654721194345092,115.14674466328763,0.6430661640986052
115CrV3,1.175,0.3,0.225,0.015,0.015,0.65,0.0,0.0,0.095,210.0,,740,770,800.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.2477517018709439,1.771459012244337
13NiCr6,0.135,0.4,0.2,0.0175,0.0175,0.7,0.0,1.425,0.0,410.0,,735,835,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.746817383680019,137.49847212572058,0.8476010564850198
14CrMoV6-9,0.14,0.9,0.125,0.01,0.0075,1.375,0.0,0.0,0.25,400.0,,780,925,950.0,,0.0,0.0,0.9,0.0,0.0,,0.0,11.052951411260215,429.68695985825053,1.4285363782685272
15CrMoV5-9,0.155,0.95,0.2,0.0125,0.015,1.35,0.0,0.0,0.25,400.0,,780,920,950.0,,0.0,0.0,0.95,0.0,0.0,,0.0,11.339499203261735,417.35535672519757,1.498875793167341
15CrNi6,0.14,0.56,0.25,0.019,0.02,1.59,0.0,1.46,0.0,400.0,,735,825,850.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.500137735939874,159.07901866580409,3.7374952136428172
15NiCr14,0.12,0.4,0.34,0.012,0.014,0.78,0.0,3.45,0.0,390.0,,680,790,830.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.475947675138027,5271.389821830877,3.2611365502494793
16CrNiMo6,0.16,0.48,0.32,0.0,0.0,1.65,0.0,1.5,0.0,400.0,,745,825,870.0,,0.0,0.0,0.29,0.0,0.0,,0.0,15.151698845084992,564.5417499465575,2.116627843152235
16Mo3,0.15,0.67,0.24,0.015,0.033,0.15,0.1,0.08,0.0,450.0,,745,880,930.0,600.0,0.0,0.0,0.25,0.0,0.0,,0.0,1.4177372317321766,33.41459258151926,1.2239564278434287
17Cr3,0.2,0.72,0.3,0.01,0.01,0.79,0.02,0.27,0.0,390.0,,735,815,850.0,,0.0,0.0,0.02,0.0,0.0,,0.0,2.902602404842272,33.60369308424052,1.1187021661932897
17MnCr5,0.165,1.15,0.2,0.0125,0.0075,0.95,0.15,0.0,0.0,390.0,,765,840,880.0,,0.025,0.0,0.0,0.0,0.0,,0.0,0.6376954189777558,110.5145010557489,0.5286913086811302
18CrMo4,0.18,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,410.0,,760,850,870.0,,0.0,0.0,0.25,0.0,0.0,,0.0,2.963614808774479,110.80540453899887,1.462640567232548
19MnB4,0.22,1.33,0.25,0.0,0.0,0.18,0.11,0.12,0.0,380.0,,725,830,1150.0,600.0,0.034,0.033,0.02,0.0,0.009,,0.0,6.80943085714402,14.240920130785186,8.341195579639319
20MoCr4,0.2,0.75,0.25,0.0,0.0,0.4,0.0,0.0,0.0,420.0,,725,820,920.0,,0.0,0.0,0.45,0.0,0.0,,0.0,4.070292957027181,419.7538154090364,1.3192310230045077
21Mn6,0.2,1.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,420.0,,725,875,900.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.27416785161915136,1.1209513822936692,0.3192509743545063
23CrMo5,0.24,0.57,0.25,0.012,0.01,1.1,0.0,0.0,0.0,390.0,,745,815,940.0,600.0,0.0,0.0,0.25,0.0,0.0,,0.0,41.18847623843148,401.99591128676343,3.269729859576367
25 Cr Mo 4 (SAE 4118),0.22,0.64,0.25,0.01,0.011,0.97,0.16,0.33,0.01,400.0,350,720,820,875.0,300.0,0.0,0.0,0.23,0.0,0.0,,0.0,1.8112359711123038,166.69171250207407,0.7795014384390019
25CrMo4,0.25,0.7,0.25,0.0,0.0,1.05,0.0,0.0,0.0,400.0,330,735,820,875.0,,0.0,0.0,0.25,0.0,0.0,,0.0,1.1782572088148724,144.86046270779715,0.4823666887743361
25MoCr4,0.26,0.75,0.275,0.0175,0.0175,0.5,0.0,0.0,0.0,410.0,,725,830,890.0,900.0,0.0,0.0,0.45,0.0,0.0,,0.0,10.188965255670919,1427.1563188004232,5.702923697662177
28 NiCrMo 7 4,0.3,0.46,0.24,0.03,0.025,1.44,0.2,2.06,0.01,350.0,270,730,770,850.0,300.0,0.0,0.0,0.37,0.0,0.0,,0.0,130.85439720555357,1447.3845804464195,8.312047745422188
30WCrV15-1,0.3,0.4,0.95,0.0175,0.0175,1.05,0.0,0.0,0.175,390.0,,785,905,950.0,,0.0,0.0,0.0,3.75,0.0,,0.0,,7.7905167392224,2.3851189347805932
31CrMo12,0.315,0.55,0.2,0.0125,0.0175,3.05,0.0,0.3,0.0,360.0,,775,815,900.0,,0.0,0.0,0.4,0.0,0.0,,0.0,,372.75937203149397,97.54799084485819
32CrMoV12-28,0.32,0.4,0.4,0.0,0.0,3.0,0.0,0.0,0.5,350.0,190,780,875,1030.0,,0.0,0.0,2.8,0.0,0.0,,0.0,,1227.2944974220204,61.243780967375756
34 Cr 4 (SAE 5135),0.35,0.656,0.23,0.026,0.013,1.11,0.18,0.23,0.01,360.0,260,740,800,850.0,300.0,0.0,0.0,0.05,0.0,0.0,,0.0,4.832262443800226,17.86468813082115,1.7631699875100755
34 CrMo 4 (SAE 4130),0.3,0.64,0.22,0.011,0.012,1.01,0.19,0.11,0.01,390.0,240,730,790,850.0,300.0,0.0,0.0,0.24,0.0,0.0,,0.0,2.6737367418581015,122.4998602416242,1.2837326181815067
34Cr4,0.35,0.65,0.23,0.0,0.0,1.11,0.0,0.23,0.0,370.0,280,750,810,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,5.339743994440284,17.47860677720521,0.7829480918738427
34CrAlMo5-10,0.34,0.65,0.04,0.0,0.0,1.15,0.0,0.0,0.0,380.0,,765,850,,,0.0,0.0,0.2,0.0,0.0,,0.0,52.216555412493605,192.7220944686442,35.091786582786426
34CrNiMo6,0.34,0.65,0.25,0.0125,0.0175,1.5,0.2,1.5,0.0,320.0,190,725,780,850.0,,0.0,0.0,0.225,0.0,0.0,,0.0,109.19410209689185,307.8958391175498,21.186406402954013
34CrS4,0.335,0.75,0.25,0.0125,0.03,1.05,0.2,0.0,0.0,350.0,250,735,790,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,3.1866098541975516,25.475643711213216,1.7365225451518242
36CrNiMo4,0.36,0.65,0.2,0.0175,0.0175,1.05,0.0,1.05,0.0,320.0,,730,780,850.0,,0.0,0.0,0.225,0.0,0.0,,0.0,39.51611071449842,277.68242098727706,6.897785379387657
37 MnSi 5,0.38,1.14,1.05,0.035,0.019,0.23,0.0,0.0,0.02,320.0,,720,790,860.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.9265591656684324,5.380943954798313,1.697064605869198
37CrS4,0.38,0.74,0.26,0.023,0.01,0.9,0.17,0.26,0.0,320.0,,755,805,850.0,1800.0,0.0,0.0,0.04,0.0,0.0,,0.0,3.744133096094604,20.715018702889353,1.4237444112026658
37MnSi5,0.37,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,330.0,,735,830,860.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.9204402944883507,7.774782690734357,1.8501480305062983
38NiCrMoV7-3,0.4,0.61,0.3,0.005,0.007,0.78,0.0,1.81,0.09,300.0,,705,785,860.0,600.0,0.0,0.0,0.35,0.0,0.0,,0.0,297.4433442178547,1867.5687391126316,43.21537618848911
40CrMnMoS8-6,0.4,1.5,0.0,0.0,0.0,1.9,0.0,0.0,0.08,310.0,,745,790,850.0,,0.0,0.0,0.17,0.0,0.0,,0.0,155.5965631605076,183.65383433483464,48.75284901033864
40NiCrMo2-2,0.4,0.85,0.275,0.0175,0.0175,0.5,0.0,0.55,0.0,330.0,,735,790,850.0,,0.0,0.0,0.225,0.0,0.0,,0.0,11.741000156312449,65.71951806060366,2.3878997264599127
41 Cr 4 (SAE 5140),0.44,0.8,0.22,0.03,0.023,1.04,0.17,0.26,0.01,360.0,250,750,790,840.0,300.0,0.0,0.0,0.04,0.0,0.0,,0.0,12.117933682881006,27.54228703338167,3.826988373761551
41CrS4,0.42,0.7,0.25,0.0,0.0,1.05,0.0,0.0,0.0,350.0,220,750,795,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,14.71584601928056,17.388753713717453,4.927395807636489
"42 CrMo 4 (SAE 4135,4140)",0.38,0.64,0.23,0.019,0.013,0.99,0.17,0.08,0.01,370.0,270,720,780,860.0,300.0,0.0,0.0,0.16,0.0,0.0,,0.0,2.5630620724274356,62.46265468501694,1.522235170295561
43CrMo4,0.43,0.75,0.2,0.025,0.015,1.05,0.15,0.0,0.0,330.0,130,750,805,850.0,,0.025,0.0,0.225,0.0,0.0,,0.0,32.83926608389778,247.4244553588842,6.727734625702835
45 CrMoV 6 7,0.43,0.75,0.27,0.011,0.011,1.31,0.0,0.11,0.23,320.0,210,750,820,970.0,900.0,0.0,0.0,0.72,0.0,0.0,,0.0,737.3940728372814,1547.0748390346068,33.91511744976429
45 CrVMoW 5 8,0.39,0.45,0.58,0.018,0.003,1.45,0.0,0.13,0.7,350.0,270,790,900,1050.0,900.0,0.0,0.0,0.47,0.55,0.0,,0.0,171.20877171259843,960.8574450193219,13.947895037913815
45CrMoV6-7,0.45,0.7,0.2,0.0175,0.0175,1.4,0.0,0.0,0.3,310.0,80,781,840,950.0,,0.0,0.0,0.7,0.0,0.0,,0.0,666.8067692136227,1116.8632477805609,74.47319739059894
45CrVMoW5-8,0.43,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,320.0,180,765,830,1050.0,,0.0,0.0,0.5,0.4,0.0,,0.0,,281.708010667087,22.3561796240478
45WCrV7,0.45,0.3,1.0,0.0,0.0,1.1,0.0,0.0,0.2,320.0,110,775,860,900.0,,0.0,0.0,0.0,2.0,0.0,,0.0,99.36594543333437,234.51236467793643,21.590074634579295
46Mn7,0.48,1.98,0.28,0.0,0.0,0.0,0.0,0.0,0.0,290.0,,720,775,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,13.211974960367819,16.50980468499646,12.968902516716168
50 CrMo 4 (SAE 4150),0.5,0.8,0.32,0.017,0.022,1.04,0.17,0.11,0.01,280.0,220,720,770,850.0,300.0,0.0,0.0,0.24,0.0,0.0,,0.0,89.81017740351595,179.62870100781527,11.22470740821111
50 CrV 4 (SAE 6145),0.47,0.82,0.35,0.035,0.015,1.2,0.14,0.04,0.11,300.0,220,740,790,880.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.54493051271145,39.639744004065655,9.425384272824624
50 CrV 4 (SAE 6150),0.55,0.98,0.22,0.017,0.013,1.02,0.07,0.01,0.11,280.0,200,720,760,880.0,300.0,0.0,0.0,0.0,0.0,0.0,,0.0,820.5203320013371,18.102225006084115,17.81800623329977
51CrV4,0.5,0.9,0.25,0.0,0.0,1.1,0.0,0.0,0.12,290.0,210,730,775,880.0,,0.0,0.0,0.0,0.0,0.0,,0.0,19.828839491270713,61.92868979659558,13.149793077803471
56 NiCrMoV 7,0.52,0.7,0.29,0.01,0.01,1.09,0.0,1.72,0.14,270.0,150,710,790,850.0,900.0,0.0,0.0,0.43,0.0,0.0,,0.0,960.3178598013658,1865.5586614131491,37.63704122972925
56Mn4,0.64,0.92,0.18,0.017,0.005,0.0,0.16,0.0,0.0,250.0,,725,750,830.0,1200.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.3931568029453032,1.7060823890031238,1.018591388054117
59CrV4,0.58,0.95,0.25,0.0,0.0,1.1,0.0,0.0,0.12,270.0,190,745,780,840.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,31.476510275732785,30.33047380302472
60 WCrV 7,0.55,0.34,0.94,0.015,0.012,1.27,0.0,0.12,0.18,310.0,210,780,820,880.0,900.0,0.0,0.0,0.05,2.1,0.0,,0.0,48.74648020177972,140.90816855117316,22.998638539612113
60MnSiCr4,0.615,1.0,0.9,0.015,0.015,0.3,0.0,0.0,0.0,300.0,,740,815,850.0,600.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.169982459641462,5.61039305893382,9.086345820125413
60NiCrMoV12-4,0.58,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.1,190.0,50,710,770,860.0,,0.0,0.0,0.3,0.0,0.0,,0.0,,1462.5161520687186,870.1563933188905
61 CrSiV 5,0.58,0.81,0.89,0.013,0.006,1.27,0.14,0.06,0.11,270.0,90,740,800,870.0,900.0,0.0,0.0,0.02,0.0,0.0,,0.0,25.64098519410044,33.029374074625466,25.64098519410044
65Si7,0.65,0.85,1.65,0.0175,0.0175,0.0,0.0,0.0,0.0,250.0,,745,785,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.9897050145794795,3.2871815277554957,7.877095004170819
90MnCrV8,0.9,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,160.0,,725,770,820.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,19.769696401118615,127.05741052085425
ASM,0.58,0.25,0.25,0.0,0.0,4.0,0.0,0.0,0.8,210.0,30,795,835,1150.0,,0.0,0.0,0.9,9.0,0.0,,0.0,6.301756847920012,972.4940319779283,391.01535193882603
C35G,0.36,0.65,0.25,0.0125,0.0175,0.0,0.0,0.0,0.0,410.0,,725,820,850.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.29372436441613803,0.5368799890082775,0.29931295294419963
C45,0.46,0.65,0.25,0.0225,0.0225,0.2,0.15,0.2,0.0,330.0,,730,795,850.0,,0.0,0.0,0.05,0.0,0.0,,0.0,0.6202306035627282,0.9817960411806925,1.0
C45E,0.46,0.65,0.25,0.0125,0.0175,0.2,0.15,0.2,0.0,340.0,,730,795,850.0,,0.0,0.0,0.05,0.0,0.0,,0.0,0.6760199524761186,1.0,0.9456022611260966
C55R,0.56,0.75,0.25,0.0125,0.03,0.2,0.15,0.2,0.0,300.0,,770,825,840.0,,0.0,0.0,0.05,0.0,0.0,,0.0,1.0373256560072663,1.3654585292519161,1.4164251646069603
C55S,0.55,0.75,0.25,0.0125,0.0125,0.2,0.0,0.2,0.0,300.0,,770,825,840.0,,0.0,0.0,0.05,0.0,0.0,,0.0,1.018591388054117,1.2941958414499863,2.1281390459827123
C60R,0.61,0.75,0.25,0.0125,0.03,0.2,0.15,0.2,0.0,230.0,,725,770,810.0,,0.0,0.0,0.05,0.0,0.0,,0.0,2.1941678196492505,1.668100537200059,3.8663537521924116
C67,0.685,0.75,0.25,0.0225,0.0225,0.0,0.0,0.0,0.0,250.0,,735,775,810.0,1200.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.4475799869555956,1.344355276904818,5.584547018776936
C70D2,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,205.0,20,720,740,860.0,600.0,0.0,0.0,0.02,0.0,0.0,,0.0,3.1874163023189213,0.7664020738465532,7.3548694037705
C70D3,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,210.0,30,720,740,860.0,600.0,0.0,0.0,0.02,0.0,0.0,,0.0,3.212269610437351,0.7126249694963014,8.38891361127338
Carburized En 33 (2)_p104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,680,,770.0,1800.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,9.38676307432443,25.463591689950086,9.38676307432443
Carburized En 33_p104,0.95,0.4,0.26,0.0,0.0,0.36,0.0,2.95,0.0,,,690,810,865.0,1800.0,0.0,0.0,0.08,0.0,0.0,18.9,0.0,3.3259879240681185,16.64540487733382,
Carburized En 34 (2)_p109,0.99,0.56,0.29,0.0,0.0,0.32,0.0,1.61,0.0,170.0,,700,,770.0,1800.0,0.0,0.0,0.29,0.0,0.0,18.9,0.0,,27.585316176291826,8.348533025195428
Carburized En 34_p109,0.99,0.56,0.29,0.0,0.0,0.32,0.0,1.61,0.0,130.0,,700,,865.0,1800.0,0.0,0.0,0.29,0.0,0.0,22.5,0.0,,172.02917010455664,38.58223967419845
Carburized En 351 (3120 at 0.9% C) (2)_p102,0.92,0.93,0.3,0.0,0.0,0.57,0.0,0.9,0.0,170.0,,720,,830.0,1800.0,0.0,0.0,0.03,0.0,0.0,18.9,0.0,,6.272111830128072,14.581194511766363
Carburized En 351 (3120 at 0.9% C)_p102,0.92,0.93,0.3,0.0,0.0,0.57,0.0,0.9,0.0,160.0,,720,,870.0,1800.0,0.0,0.0,0.03,0.0,0.0,18.9,0.0,,7.0352629574941,22.354882161927364
Carburized En 352 (3120 at 1% C) (2)_p103,0.96,0.74,0.26,0.0,0.0,0.84,0.0,1.19,0.0,150.0,,710,,800.0,1800.0,0.0,0.0,0.09,0.0,0.0,18.9,0.0,,29.595990327355477,15.356822687587977
Carburized En 352 (3120 at 1% C)_p103,0.96,0.74,0.26,0.0,0.0,0.84,0.0,1.19,0.0,120.0,,710,,865.0,1800.0,0.0,0.0,0.09,0.0,0.0,18.9,0.0,,36.89173954438243,85.9771811252588
